model_nick,strategy_nick,public_acc,hidden_acc,paraphrased_acc,gap,alpha__ts_guessing,alpha__ngram_lcs,alpha__embedding_sim,alpha__behavioral_paraphrase,sigma__ts_guessing,sigma__ngram_lcs,sigma__embedding_sim,sigma__behavioral_paraphrase,sigma_central,sigma_lower,sigma_upper,n_items,notes
phi-4-mini,baseline,0.6400,0.5510,0.6730,0.0890,0.0000,0.0000,0.0000,0.0000,nan,nan,nan,nan,,,0.9110,1000,detector=ts_guessing: α̂=0.0000 ≈ 0; gap not explained by voluntary gaming (involuntary-contamination diagnostic per §7.1); detector=ngram_lcs: α̂=0.0000 ≈ 0; gap not explained by voluntary gaming (involuntary-contamination diagnostic per §7.1); detector=embedding_sim: α̂=0.0000 ≈ 0; gap not explained by voluntary gaming (involuntary-contamination diagnostic per §7.1); detector=behavioral_paraphrase: α̂=0.0000 ≈ 0; gap not explained by voluntary gaming (involuntary-contamination diagnostic per §7.1)
phi-4-mini,contam-heavy,0.6790,0.5560,0.6870,0.1230,0.5000,0.5000,0.5000,0.5000,0.7540,0.7540,0.7540,0.7540,0.7540,0.7540,0.8770,1000,
